Processes: 742 total, 3 running, 739 sleeping, 3274 threads 
2025/11/07 10:47:23
Load Avg: 1.92, 1.87, 1.78 
CPU usage: 4.86% user, 10.61% sys, 84.51% idle 
SharedLibs: 856M resident, 184M data, 131M linkedit.
MemRegions: 350801 total, 8305M resident, 423M private, 3747M shared.
PhysMem: 23G used (2124M wired, 3841M compressor), 153M unused.
VM: 314T vsize, 5702M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 5486966/4297M in, 1807296/1837M out.
Disks: 1126483/22G read, 732951/34G written.

PID    COMMAND          %CPU TIME     #TH    #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS  COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES JETPRI USER                  #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
69772  ASConfigurationS 0.0  00:00.09 2      1    38     5392K 0B    4912K 69772 1     sleeping  0[0]        0.00000 0.00000    501 1433    153   168      54       761      381       188       12      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69771  ManagementTestSu 0.0  00:00.07 2      1    34     4656K 0B    4256K 69771 1     sleeping  0[0]        0.00000 0.00000    501 1063    126   122      41       636      305       145       2       1       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69770  AccountSubscribe 0.0  00:00.09 2      1    30     5056K 0B    4672K 69770 1     sleeping  0[0]        0.00000 0.00000    501 1246    143   125      43       631      311       144       8       1       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69769  PasscodeSettings 0.0  00:00.06 2      1    27     4464K 0B    4080K 69769 1     sleeping  0[0]        0.00000 0.00000    501 1061    131   113      41       585      284       102       2       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69768  LegacyProfilesSu 0.0  00:00.07 2      1    26     4608K 0B    4192K 69768 1     sleeping  0[0]        0.00000 0.00000    501 1080    131   113      41       628      287       118       3       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69753  ScreenSharingSub 0.0  00:00.08 2      1    34     5024K 0B    4576K 69753 1     sleeping  0[0]        0.00000 0.00000    501 1264    144   140      43       731      354       323       3       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69752  InteractiveLegac 0.0  00:00.07 2      1    29     4704K 0B    4304K 69752 1     sleeping  0[0]        0.00000 0.00000    501 1079    131   113      41       609      282       167       3       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69751  SecuritySubscrib 0.0  00:00.06 2      1    34     4656K 0B    4224K 69751 1     sleeping  0[0]        0.00000 0.00000    501 1073    130   122      41       633      305       136       2       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69750  SafariConfigurat 0.0  00:00.09 2      1    41     6961K 0B    6448K 69750 1     sleeping  0[0]        0.00000 0.00000    501 1413    140   159      54       817      398       263       26      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69749  RemoteManagement 0.0  00:00.11 2      1    55     4592K 0B    4192K 69749 1     sleeping *0[1]        0.00000 0.00000    501 1375    152   287      119      2636     743       343       7       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69715  nsattributedstri 0.0  00:00.62 4      1    230    12M   0B    6160K 69715 1     sleeping *100[4]      0.00000 0.00000    501 9120    321   11001    5282     26624    22470     8868      2       31      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69713  com.apple.access 0.0  00:00.03 2      1    37     2304K 0B    2000K 69713 1     sleeping *0[2]        0.00000 0.00000    200 840     119   122      40       617      284       133       2       0       0.0   0      0      0      _softwareupdate       N/A    N/A   N/A   N/A   N/A   N/A  
69710  com.apple.hiserv 0.0  00:00.27 2      1    45     2368K 0B    1472K 69710 1     sleeping *0[5]        0.00000 0.00000    200 771     124   192      2788     14099    419       3034      2       2       0.0   0      0      0      _softwareupdate       N/A    N/A   N/A   N/A   N/A   N/A  
69709  nsattributedstri 0.0  00:00.30 3      1    137    10M   0B    6672K 69709 1     sleeping *0[5]        0.00000 0.00000    200 5607    287   2250     1353     5739     5899      2316      28      14      0.0   0      0      0      _softwareupdate       N/A    N/A   N/A   N/A   N/A   N/A  
69696  com.apple.Stream 0.0  00:00.44 2      1    38     11M   0B    10M   69696 1     sleeping  0[0]        0.00000 0.00000    242 2093    118   335      187      7317     684       3007      19      0       0.0   0      0      0      _nsurlsessiond        N/A    N/A   N/A   N/A   N/A   N/A  
69684  backgroundassets 0.0  00:00.09 2      1    56     3120K 0B    1920K 69684 1     sleeping *0[2]        0.00000 0.00000    501 1933    148   569      228      2718     1919      1892      5       15      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69672  CloudTelemetrySe 0.0  00:00.11 2      1    35     7040K 0B    6576K 69672 1     sleeping  0[0]        0.00000 0.00000    501 1581    147   152      51       1552     371       691       9       32      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69671  cfprefsd         0.0  00:00.05 2      1    24     2288K 0B    2032K 69671 1     sleeping *0[5]        0.00000 0.00000    260 870     117   120      57       914      297       158       2       1       0.0   0      0      0      _applepay             N/A    N/A   N/A   N/A   N/A   N/A  
69670  cfprefsd         0.0  00:00.05 2      1    22     2128K 0B    1840K 69670 1     sleeping *0[5]        0.00000 0.00000    277 843     117   115      52       877      287       170       2       2       0.0   0      0      0      _rmd                  N/A    N/A   N/A   N/A   N/A   N/A  
69665  xpcroleaccountd  0.0  00:00.08 2      1    27     2976K 0B    2640K 69665 1     sleeping *0[1]        0.00000 0.00000    0   988     126   110      49       1860     250       121       2       0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
69664  com.apple.NRD.Up 0.0  00:00.11 2      1    57     3584K 0B    3216K 69664 1     sleeping *0[1]        0.00000 0.00000    0   1137    132   2510     1244     3034     2441      394       74      0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
69652  NRDUpdated       0.0  00:00.22 3      1    80     5488K 0B    4528K 69652 1     sleeping *0[1]        0.00000 0.00000    200 2148    174   352      172      9725     846       2291      3       320     0.0   0      0      0      _softwareupdate       N/A    N/A   N/A   N/A   N/A   N/A  
69651  installerauthage 0.0  00:00.02 2      1    31     2064K 0B    1744K 69651 1     sleeping  0[0]        0.00000 0.00000    501 685     118   104      47       625      266       76        2       0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69648  analyticsagent   0.0  00:00.36 2      1    59     5648K 0B    5216K 69648 1     sleeping *0[1]        0.00000 0.00000    501 1711    179   638      113      8529     3210      2706      2       1       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
